Time,Distance,Theta,LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori
0,110,0,21.6,21.6,-100,160,0
0.333,110,0,21.477468,21.628108,-92.822922,160,0.00109
0.666,102.822922,0.00109,22.345266,22.134375,-85.417066,160.008076,-0.000436
0.999,95.417066,-0.000436,21.952136,22.160673,-78.072284,160.004873,0.001073
1.332,88.072284,0.001073,20.800004,20.864915,-71.135079,160.012319,0.001543
1.665,81.13508,0.001543,21.234502,21.161763,-64.076109,160.023214,0.001017
1.998,74.076113,0.001017,22.610284,20.924077,-56.827642,160.030584,-0.01119
2.331,66.827649,-0.01119,20.543812,21.569546,-49.816207,159.952124,-0.003764
2.664,59.816226,-0.003764,22.308007,21.996641,-42.439535,159.924354,-0.006018
2.997,52.43959,-0.006018,20.532177,21.891371,-35.376142,159.881843,0.003821
3.33,45.376296,0.003821,21.573673,21.70067,-28.171017,159.909373,0.00474
3.663,38.171124,0.00474,22.52718,22.254777,-20.714905,159.944717,0.002768
3.996,30.714955,0.002768,21.05375,22.410479,-13.478138,159.964751,0.01259
4.329,23.478165,0.01259,21.563426,22.1455,-6.201179,160.056371,0.016804
4.662,16.201277,0.016804,21.791795,21.75636,1.048565,160.178204,0.016547
4.995,8.953208,0.016547,22.680005,20.482396,8.234121,160.297114,0.000638
5.328,1.790699,0.000638,0,0,8.234121,160.297114,0.000638
5.661,3.652982,0.000638,5,-5,8.234121,160.297114,-0.071753
5.994,3.652982,-0.071753,0,0,8.234121,160.297114,-0.071753
6.327,9.270641,-0.071753,20.44147,23.755203,15.573932,159.769555,-0.047765
6.66,1.939804,-0.047765,0,0,15.573932,159.769555,-0.047765
6.993,9.428884,-0.047765,-5,5,15.573932,159.769555,0.024627
7.326,9.428884,0.024627,20.862394,21.773013,22.670575,159.944358,0.031219
7.659,2.330089,0.031219,0,0,22.670575,159.944358,0.031219
7.992,9.829582,0.031219,22.739855,21.220972,29.986486,160.172826,0.020223
8.325,2.519448,0.020223,0,0,29.986486,160.172826,0.020223
8.658,10.015005,0.020223,21.987137,21.118927,37.162178,160.317963,0.013938
8.991,2.855579,0.013938,0,0,37.162178,160.317963,0.013938
9.324,10.34271,0.013938,22.002413,19.816624,44.124372,160.415011,-0.001885
9.657,3.401044,-0.001885,0,0,44.124372,160.415011,-0.001885
9.99,10.883544,-0.001885,21.945758,21.017968,51.277819,160.401528,-0.008601
10.323,3.743775,-0.008601,0,0,51.277819,160.401528,-0.008601
10.656,11.229362,-0.008601,22.986515,20.527765,58.522679,160.339212,-0.0264
10.989,3.99176,-0.0264,0,0,58.522679,160.339212,-0.0264
11.322,11.482333,-0.0264,22.080577,21.956363,65.852274,160.145663,-0.0273
11.655,4.150283,-0.0273,21.406374,21.397129,72.976402,159.951128,-0.027367
11.988,2.976803,-0.027367,0,0,72.976402,159.951128,-0.027367
12.321,4.523862,-0.027367,19.742836,22.104706,79.941409,159.760472,-0.010269
12.654,2.453131,-0.010269,0,0,79.941409,159.760472,-0.010269
12.987,5.064259,-0.010269,-5,5,79.941409,159.760472,0.062123
13.32,5.064259,0.062123,21.972367,20.775776,87.045245,160.20235,0.05346
13.653,2.05523,0.05346,0,0,87.045245,160.20235,0.05346
13.986,5.458507,0.05346,5,-5,87.045245,160.20235,-0.018931
14.319,5.458507,-0.018931,22.851202,21.366041,94.406097,160.062985,-0.029682
14.652,1.907137,-0.029682,0,0,94.406097,160.062985,-0.029682
14.985,5.594258,-0.029682,20.783848,21.383406,101.423852,159.854622,-0.025342
15.318,1.431254,-0.025342,0,0,101.423852,159.854622,-0.025342
15.651,6.077887,-0.025342,20.739239,23.610149,108.805654,159.667512,-0.004559
15.984,1.347323,-0.004559,0,0,108.805654,159.667512,-0.004559
16.317,6.203263,-0.004559,-5,5,108.805654,159.667512,0.067832
16.65,6.203263,0.067832,22.556637,21.823636,116.177976,160.168362,0.062526
16.983,1.189947,0.062526,0,0,116.177976,160.168362,0.062526
17.316,6.324265,0.062526,5,-5,116.177976,160.168362,-0.009865
17.649,6.324265,-0.009865,21.763587,20.749869,123.256122,160.098532,-0.017204
17.982,0.762515,-0.017204,0,0,123.256122,160.098532,-0.017204
18.315,6.744598,-0.017204,21.617404,21.746298,130.47511,159.974325,-0.016271
18.648,0.475803,-0.016271,0,0,130.47511,159.974325,-0.016271
18.981,7.024937,-0.016271,20.332737,22.122978,137.543051,159.859315,-0.003311
19.314,0.147125,-0.003311,0,0,137.543051,159.859315,-0.003311
19.647,7.458276,-0.003311,21.07946,21.367648,144.610455,159.835915,-0.001225
19.98,0.422692,-0.001225,0,0,144.610455,159.835915,-0.001225
20.313,7.891251,-0.001225,20.586569,22.074901,151.713585,159.827216,0.00955
20.646,0.805173,0.00955,0,0,151.713585,159.827216,0.00955
20.979,8.288216,0.00955,22.188731,22.484153,159.151281,159.898245,0.011688
21.312,0.854797,0.011688,0,0,159.151281,159.898245,0.011688
21.645,8.349339,0.011688,22.239605,22.35387,166.575587,159.985025,0.012515
21.978,0.924534,0.012515,0,0,166.575587,159.985025,0.012515
22.311,8.424426,0.012515,22.431454,21.513503,173.89185,160.076595,0.00587
22.644,1.110794,0.00587,0,0,173.89185,160.076595,0.00587
22.977,8.608491,0.00587,21.732083,20.300462,180.890148,160.117677,-0.004494
23.31,1.614147,-0.004494,0,0,180.890148,160.117677,-0.004494
23.643,9.110612,-0.004494,20.985393,21.106663,187.898404,160.086185,-0.003616
23.976,2.103362,-0.003616,0,0,187.898404,160.086185,-0.003616
24.309,9.601982,-0.003616,21.746975,21.897679,195.165192,160.05991,-0.002525
24.642,2.335577,-0.002525,0,0,195.165192,160.05991,-0.002525
24.975,9.834991,-0.002525,21.786888,21.183003,202.319656,160.041848,-0.006896
25.308,2.680671,-0.006896,0,0,202.319656,160.041848,-0.006896
25.641,10.18043,-0.006896,21.129252,21.769591,209.462143,159.99259,-0.002261
25.974,3.037866,-0.002261,0,0,209.462143,159.99259,-0.002261
26.307,10.537859,-0.002261,20.88516,21.841498,216.576114,159.976507,0.004662
26.64,3.423967,0.004662,0,0,216.576114,159.976507,0.004662
26.973,10.923911,0.004662,22.291218,21.171486,223.812575,160.010245,-0.003444
27.306,3.687439,-0.003444,0,0,223.812575,160.010245,-0.003444
27.639,11.187429,-0.003444,21.416361,21.942579,231.031796,159.985385,0.000366
27.972,3.968231,0.000366,0,0,231.031796,159.985385,0.000366
28.305,11.468213,0.000366,20.961092,21.237718,238.057897,159.987955,0.002368
28.638,4.442119,0.002368,21.828212,20.852119,245.164153,160.004784,-0.004698
28.971,2.664157,-0.004698,0,0,245.164153,160.004784,-0.004698
29.304,4.83585,-0.004698,21.704825,22.183124,252.471415,159.970456,-0.001235
29.637,2.471592,-0.001235,0,0,252.471415,159.970456,-0.001235
29.97,5.028672,-0.001235,21.282572,22.547696,259.769149,159.961441,0.007923
30.303,2.269477,0.007923,0,0,259.769149,159.961441,0.007923
30.636,5.230993,0.007923,22.464296,21.339116,267.062189,160.019225,-0.000222
30.969,2.062278,-0.000222,0,0,267.062189,160.019225,-0.000222
31.302,5.437845,-0.000222,22.68378,20.762199,274.295944,160.017618,-0.014133
31.635,1.79603,-0.014133,0,0,274.295944,160.017618,-0.014133
31.968,5.704083,-0.014133,21.350098,22.912861,281.664991,159.913465,-0.00282
32.301,1.667238,-0.00282,0,0,281.664991,159.913465,-0.00282
32.634,5.835651,-0.00282,21.221226,22.40292,288.928382,159.892984,0.005735
32.967,1.432385,0.005735,0,0,288.928382,159.892984,0.005735
33.3,6.072561,0.005735,21.595637,21.685359,296.13455,159.934309,0.006384
33.633,1.13645,0.006384,0,0,296.13455,159.934309,0.006384
33.966,6.365789,0.006384,20.556999,22.239363,303.259999,159.9798,0.018563
34.299,0.760267,0.018563,0,0,303.259999,159.9798,0.018563
34.632,6.740032,0.018563,21.205868,20.242552,310.159972,160.107899,0.011589
34.965,0.192959,0.011589,0,0,310.159972,160.107899,0.011589
35.298,7.340821,0.011589,23.182734,21.460852,317.59263,160.194043,-0.000876
35.631,0.215018,-0.000876,0,0,317.59263,160.194043,-0.000876
35.964,7.409911,-0.000876,22.554682,20.608818,324.77935,160.187751,-0.014962
36.297,0.289719,-0.014962,0,0,324.77935,160.187751,-0.014962
36.63,7.722933,-0.014962,22.436594,21.738106,332.133614,160.077709,-0.020018
36.963,0.374536,-0.020018,0,0,332.133614,160.077709,-0.020018
37.296,7.86677,-0.020018,21.908882,22.430129,339.51458,159.929935,-0.016245
37.629,0.49045,-0.016245,0,0,339.51458,159.929935,-0.016245
37.962,7.985727,-0.016245,21.431091,22.663346,346.855335,159.810674,-0.007324
38.295,0.67189,-0.007324,0,0,346.855335,159.810674,-0.007324
38.628,8.146865,-0.007324,21.260082,23.451683,354.299644,159.756148,0.008541
38.961,0.741594,0.008541,0,0,354.299644,159.756148,0.008541
39.294,8.20398,0.008541,19.978449,22.606481,361.389777,159.816705,0.027565
39.627,1.125252,0.027565,0,0,361.389777,159.816705,0.027565
39.96,8.612174,0.027565,21.457472,21.420679,368.526277,160.013476,0.027299
40.293,1.473785,0.027299,0,0,368.526277,160.013476,0.027299
40.626,8.973733,0.027299,23.061298,20.565473,375.787428,160.211748,0.009232
40.959,1.725613,0.009232,0,0,375.787428,160.211748,0.009232
41.292,9.215006,0.009232,23.319646,20.861707,383.143309,160.279656,-0.008562
41.625,1.877633,-0.008562,0,0,383.143309,160.279656,-0.008562
41.958,9.360869,-0.008562,21.765402,21.217734,390.299739,160.218383,-0.012526
42.291,2.211072,-0.012526,0,0,390.299739,160.218383,-0.012526
42.624,9.702719,-0.012526,21.389415,22.185291,397.554359,160.127503,-0.006765
42.957,2.448963,-0.006765,0,0,397.554359,160.127503,-0.006765
43.29,9.946459,-0.006765,21.848044,21.12673,404.709495,160.079098,-0.011987
43.623,2.791626,-0.011987,0,0,404.709495,160.079098,-0.011987
43.956,10.290809,-0.011987,21.730292,21.857598,411.966357,159.992108,-0.011065
44.289,3.033653,-0.011065,0,0,411.966357,159.992108,-0.011065
44.622,10.533646,-0.011065,22.234659,22.932747,419.48627,159.908896,-0.006012
44.955,3.015107,-0.006012,0,0,419.48627,159.908896,-0.006012
45.288,10.514125,-0.006012,21.522952,21.99499,426.731876,159.865338,-0.002594
45.621,3.270897,-0.002594,0,0,426.731876,159.865338,-0.002594
45.954,10.768966,-0.002594,20.754175,21.344046,433.741206,159.847153,0.001676
46.287,3.7619,0.001676,0,0,433.741206,159.847153,0.001676
46.62,11.259831,0.001676,20.908788,21.064307,440.729717,159.858865,0.002802
46.953,4.272615,0.002802,20.221606,22.946899,447.917245,159.879001,0.02253
47.286,2.919753,0.02253,0,0,447.917245,159.879001,0.02253
47.619,4.584352,0.02253,20.926783,21.966384,455.057144,160.039892,0.030056
47.952,2.557455,0.030056,0,0,455.057144,160.039892,0.030056
48.285,4.943017,0.030056,23.520608,20.301603,462.350247,160.259161,0.006753
48.618,2.364493,0.006753,0,0,462.350247,160.259161,0.006753
48.951,5.15627,0.006753,5,-5,462.350247,160.259161,-0.065638
49.284,5.15627,-0.065638,20.58553,22.584806,469.52263,159.787703,-0.051165
49.617,2.033741,-0.051165,0,0,469.52263,159.787703,-0.051165
49.95,5.481483,-0.051165,-5,5,469.52263,159.787703,0.021226
50.283,5.481483,0.021226,20.223446,22.917714,476.704015,159.940161,0.040731
50.616,1.705065,0.040731,0,0,476.704015,159.940161,0.040731
50.949,5.703709,0.040731,21.671098,20.326656,483.690841,160.224895,0.030998
51.282,1.302987,0.030998,0,0,483.690841,160.224895,0.030998
51.615,4.081836,0.030998,23.459305,19.518887,490.843273,160.446677,0.002473
51.948,3.085107,0.002473,0,0,490.843273,160.446677,0.002473
52.281,1.960244,0.002473,-5,5,490.843273,160.446677,0.074864
52.614,1.960244,0.074864,-5,5,490.843273,160.446677,0.147255
52.947,1.960244,0.147255,-5,5,490.843273,160.446677,0.219647
53.28,1.960244,0.219647,-5,5,490.843273,160.446677,0.292038
53.613,1.960244,0.292038,-5,5,490.843273,160.446677,0.364429
53.946,1.960244,0.364429,0,0,490.843273,160.446677,0.364429
54.279,6.951715,0.364429,19.364847,22.389247,497.338769,162.924501,0.386323
54.612,0.292012,0.386323,0,0,497.338769,162.924501,0.386323
54.945,5.06468,0.386323,-5,5,497.338769,162.924501,0.458715
55.278,5.06468,0.458715,-5,5,497.338769,162.924501,0.531106
55.611,5.06468,0.531106,-5,5,497.338769,162.924501,0.603497
55.944,5.06468,0.603497,-5,5,497.338769,162.924501,0.675888
56.277,5.06468,0.675888,22.345629,20.410693,502.892611,167.378037,0.661881
56.61,2.054887,0.661881,0,0,502.892611,167.378037,0.661881
56.943,2.959452,0.661881,-5,5,502.892611,167.378037,0.734273
57.276,2.959452,0.734273,-5,5,502.892611,167.378037,0.806664
57.609,2.959452,0.806664,-5,5,502.892611,167.378037,0.879055
57.942,2.959452,0.879055,0,0,502.892611,167.378037,0.879055
58.275,7.937573,0.879055,-5,5,502.892611,167.378037,0.951446
58.608,7.937573,0.951446,21.092805,22.951948,507.149722,173.349343,0.964905
58.941,0.614465,0.964905,0,0,507.149722,173.349343,0.964905
59.274,5.604852,0.964905,-5,5,507.149722,173.349343,1.037296
59.607,5.604852,1.037296,-5,5,507.149722,173.349343,1.109688
59.94,5.604852,1.109688,-5,5,507.149722,173.349343,1.182079
60.273,5.604852,1.182079,20.869009,22.514895,509.887412,180.033867,1.193994
60.606,1.62436,1.193994,0,0,509.887412,180.033867,1.193994
60.939,3.475558,1.193994,5,-5,509.887412,180.033867,1.121602
61.272,3.475558,1.121602,-5,5,509.887412,180.033867,1.193994
61.605,3.475558,1.193994,-5,5,509.887412,180.033867,1.266385
61.938,3.475558,1.266385,-5,5,509.887412,180.033867,1.338776
62.271,3.475558,1.338776,-5,5,509.887412,180.033867,1.411168
62.604,3.475558,1.411168,-5,5,509.887412,180.033867,1.483559
62.937,3.475558,1.483559,-5,5,509.887412,180.033867,1.55595
63.27,3.475558,1.55595,0,0,509.887412,180.033867,1.55595
63.603,9.395274,1.55595,21.551001,21.363773,509.993488,187.17839,1.554595
63.936,2.250087,1.554595,0,0,509.993488,187.17839,1.554595
64.269,9.750079,1.554595,20.539998,21.450248,510.106753,194.168848,1.561184
64.602,2.761683,1.561184,0,0,510.106753,194.168848,1.561184
64.935,10.260174,1.561184,20.563968,23.101439,510.176634,201.438802,1.579553
65.268,2.994878,1.579553,0,0,510.176634,201.438802,1.579553
65.601,10.491151,1.579553,21.057554,22.344966,510.113352,208.665045,1.588873
65.934,3.26539,1.588873,0,0,510.113352,208.665045,1.588873
66.267,10.764019,1.588873,22.682016,20.635602,509.982982,215.87625,1.574059
66.6,3.552257,1.574059,0,0,509.982982,215.87625,1.574059
66.933,11.05223,1.574059,21.294706,20.7426,509.960147,222.875424,1.570062
67.266,4.053238,1.570062,21.75191,20.691109,509.965335,229.942185,1.562383
67.599,3.013918,1.562383,0,0,509.965335,229.942185,1.562383
67.932,4.486416,1.562383,22.252443,22.398773,510.027884,237.376349,1.563442
68.265,2.948014,1.563442,0,0,510.027884,237.376349,1.563442
68.598,4.552203,1.563442,20.945182,21.422334,510.079761,244.43035,1.566896
68.931,2.503154,1.566896,0,0,510.079761,244.43035,1.566896
69.264,4.998753,1.566896,21.272296,22.58135,510.108238,251.731927,1.576373
