X,Y,Ori,Velo,
16.61,155.19,4.15,15.01,
13.95,150.95,4.20,15.01,
11.51,146.59,4.25,15.01,
9.30,142.11,4.30,15.01,
7.31,137.52,4.35,15.01,
5.55,132.84,4.40,15.01,
4.02,128.08,4.45,15.01,
2.74,123.25,4.50,15.01,
1.70,118.36,4.55,15.01,
0.90,113.42,4.60,15.01,
0.36,108.45,4.65,15.01,
0.06,103.46,4.70,15.55,
-0.00,98.28,4.71,21.80,
-0.00,91.03,4.71,22.52,
-0.00,83.53,4.71,22.52,
-0.00,76.03,4.71,22.52,
-0.00,68.53,4.71,22.52,
-0.00,61.03,4.71,22.52,
-0.00,53.53,4.71,22.52,
-0.00,46.03,4.71,22.52,
-0.00,38.53,4.71,22.52,
-0.00,31.03,4.71,22.52,
-0.00,23.53,4.71,22.52,
-0.00,16.03,4.71,22.52,
0.00,8.53,4.71,22.52,
0.00,1.03,4.71,22.52,
0.00,-6.47,4.71,22.52,
0.00,-13.97,4.71,22.52,
0.00,-21.47,4.71,22.52,
0.00,-28.97,4.71,22.52,
0.00,-36.47,4.71,22.52,
0.00,-43.97,4.71,22.52,
0.00,-51.47,4.71,22.52,
0.00,-58.97,4.71,22.52,
0.00,-66.47,4.71,22.52,
0.00,-73.97,4.71,22.52,
0.00,-81.47,4.71,22.52,
0.00,-88.97,4.71,22.48,
0.00,-96.46,4.71,16.92,
-0.02,-102.09,4.67,15.01,
-0.25,-107.09,4.62,15.01,
-0.73,-112.06,4.57,15.01,
-1.46,-117.01,4.52,15.01,
-2.43,-121.92,4.47,15.01,
-3.65,-126.76,4.42,15.01,
-5.11,-131.55,4.37,15.01,
-6.80,-136.25,4.32,15.01,
-8.73,-140.86,4.27,15.01,
-10.89,-145.37,4.22,15.01,
-13.27,-149.77,4.17,15.01,
-15.86,-154.04,4.12,15.01,
-18.67,-158.18,4.07,15.01,
-21.68,-162.17,4.02,15.01,
-24.88,-166.01,3.97,15.01,
-28.27,-169.68,3.92,15.01,
-31.85,-173.18,3.87,15.01,
-35.59,-176.49,3.82,15.01,
-39.49,-179.62,3.77,15.01,
-43.55,-182.54,3.72,15.01,
-47.74,-185.26,3.67,15.01,
-52.07,-187.77,3.62,15.01,
-56.52,-190.05,3.57,15.01,
-61.07,-192.11,3.52,15.01,
-65.72,-193.94,3.47,15.01,
-70.46,-195.54,3.42,15.01,
-75.27,-196.89,3.37,15.01,
-80.15,-198.01,3.32,15.01,
-85.07,-198.88,3.27,15.01,
-90.03,-199.50,3.22,15.01,
-95.02,-199.88,3.17,15.01,
-100.01,-200.00,3.12,15.01,
-105.01,-199.87,3.07,15.01,
-110.00,-199.50,3.02,15.01,
-114.96,-198.87,2.97,15.01,
-119.88,-198.00,2.92,15.01,
-124.75,-196.89,2.87,15.01,
-129.57,-195.53,2.82,15.01,
-134.30,-193.93,2.77,15.01,
-138.96,-192.10,2.72,15.01,
-143.51,-190.04,2.67,15.01,
-147.96,-187.75,2.62,15.01,
-152.28,-185.24,2.57,15.01,
-156.48,-182.53,2.52,15.01,
-160.53,-179.60,2.47,15.01,
-164.43,-176.47,2.42,15.01,
-168.17,-173.16,2.37,15.01,
-171.75,-169.66,2.32,15.01,
-175.14,-165.99,2.27,15.01,
-178.34,-162.15,2.22,15.01,
-181.35,-158.16,2.17,15.01,
-184.16,-154.02,2.12,15.01,
-186.75,-149.74,2.07,15.01,
-189.13,-145.35,2.02,15.01,
-191.28,-140.84,1.97,15.01,
-193.21,-136.22,1.92,15.01,
-194.90,-131.52,1.87,15.01,
-196.36,-126.74,1.82,15.01,
-197.58,-121.89,1.77,15.01,
-198.55,-116.98,1.72,15.01,
-199.27,-112.04,1.67,15.01,
-199.75,-107.06,1.62,15.01,
-199.98,-102.06,1.57,15.01,
-199.96,-97.07,1.52,15.01,
-199.69,-92.07,1.47,15.01,
-199.16,-87.10,1.42,15.01,
-198.40,-82.16,1.37,15.01,
-197.38,-77.27,1.32,15.01,
-196.12,-72.43,1.27,15.01,
-194.63,-67.66,1.22,15.01,
-192.89,-62.97,1.17,15.01,
-190.92,-58.37,1.12,15.01,
-188.73,-53.88,1.07,15.01,
-186.31,-49.50,1.02,15.01,
-183.68,-45.25,0.97,15.01,
-180.84,-41.14,0.92,15.01,
-177.80,-37.17,0.87,15.01,
-174.56,-33.36,0.82,15.01,
-171.14,-29.72,0.77,15.01,
-167.54,-26.25,0.72,15.01,
-163.77,-22.97,0.67,15.01,
-159.84,-19.88,0.62,15.01,
-155.76,-16.99,0.57,15.01,
-151.54,-14.30,0.52,15.01,
-147.19,-11.83,0.47,15.01,
-142.72,-9.59,0.42,15.01,
-138.15,-7.56,0.37,15.01,
-133.48,-5.77,0.32,15.01,
-128.73,-4.22,0.27,15.01,
-123.91,-2.90,0.22,15.01,
-119.03,-1.83,0.17,15.01,
-114.10,-1.00,0.12,15.01,
-109.13,-0.42,0.07,15.01,
-104.14,-0.09,0.02,15.18,
-99.09,0.00,0.00,21.14,
-92.05,0.00,0.00,22.52,
-84.55,0.00,0.00,22.52,
-77.05,0.00,0.00,22.52,
-69.55,0.00,0.00,22.52,
-62.05,0.00,0.00,22.52,
-54.55,0.00,0.00,22.52,
-47.05,0.00,0.00,22.52,
-39.55,0.00,0.00,22.52,
-32.05,0.00,0.00,22.52,
-24.55,0.00,0.00,22.52,
-17.05,0.00,0.00,22.52,
-9.55,0.00,0.00,22.52,
-2.05,0.00,0.00,22.52,
5.45,0.00,0.00,22.52,
12.95,0.00,0.00,22.52,
20.45,0.00,0.00,22.52,
27.95,0.00,0.00,22.52,
35.45,0.00,0.00,22.52,
42.95,0.00,0.00,22.52,
50.45,0.00,0.00,22.52,
57.95,0.00,0.00,22.52,
65.45,0.00,0.00,22.52,
72.95,0.00,0.00,22.52,
80.45,0.00,0.00,22.52,
87.95,0.00,0.00,22.52,
95.45,0.00,0.00,22.52,
102.95,0.00,0.00,22.52,
110.45,0.00,0.00,22.52,
117.95,0.00,0.00,22.52,
