Time[sec],Vel_L[cm/sec],Vel_R[cm/sec],XPos[cm/sec],YPos[cm/sec],Ori[Deg],
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333000,2.827433,5.654867,0.000000,0.000000,0.000000
0.666000,14.137167,16.964600,1.412303,0.000000,1.172740
0.999000,14.137167,11.309734,6.589663,0.105986,2.345479
1.332000,11.309734,11.309734,10.823022,0.279381,1.172740
1.665000,11.309734,14.137167,14.588374,0.356461,1.172740
1.998000,11.309734,11.309734,18.824396,0.443177,2.345479
2.331000,14.137167,14.137167,22.587382,0.597306,2.345479
2.664000,11.309734,11.309734,27.291114,0.789967,2.345479
2.997000,16.964600,14.137167,31.054101,0.944096,2.345479
3.330000,14.137167,14.137167,36.228206,1.156023,1.172740
3.663000,14.137167,14.137167,40.934897,1.252374,1.172740
3.996000,14.137167,16.964600,45.641587,1.348725,1.172740
4.329000,16.964600,14.137167,50.818947,1.454711,2.345479
4.662000,14.137167,16.964600,55.993053,1.666638,1.172740
4.995000,16.964600,16.964600,61.170412,1.772624,2.345479
5.328000,16.964600,16.964600,66.814892,2.003817,2.345479
5.661000,16.964600,16.964600,72.459371,2.235010,2.345479
5.994000,19.792034,19.792034,78.103850,2.466204,2.345479
6.327000,16.964600,16.964600,84.689076,2.735929,2.345479
6.660000,19.792034,19.792034,90.333555,2.967123,2.345479
6.993000,16.964600,19.792034,96.918780,3.236848,2.345479
7.326000,19.792034,16.964600,103.033633,3.487308,3.518219
7.659000,16.964600,16.964600,109.142078,3.862866,2.345479
7.992000,19.792034,19.792034,114.786557,4.094059,2.345479
8.325000,16.964600,19.792034,121.371783,4.363785,2.345479
8.658000,19.792034,16.964600,127.486635,4.614244,3.518219
8.991000,16.964600,19.792034,133.595081,4.989802,2.345479
9.324000,19.792034,16.964600,139.709933,5.240262,3.518219
9.657000,16.964600,19.792034,145.818379,5.615820,2.345479
9.990000,19.792034,16.964600,151.933231,5.866279,3.518219
10.323000,16.964600,19.792034,158.041677,6.241837,2.345479
10.656000,19.792034,16.964600,164.156529,6.492297,3.518219
10.989000,16.964600,19.792034,170.264975,6.867855,2.345479
11.322000,19.792034,16.964600,176.379827,7.118314,3.518219
11.655000,16.964600,19.792034,182.488272,7.493872,2.345479
11.988000,19.792034,16.964600,188.603125,7.744332,3.518219
12.321000,16.964600,19.792034,194.711570,8.119890,2.345479
12.654000,19.792034,16.964600,200.826423,8.370349,3.518219
12.987000,16.964600,19.792034,206.934868,8.745907,2.345479
13.320000,19.792034,16.964600,213.049721,8.996367,3.518219
13.653000,16.964600,16.964600,219.158166,9.371925,2.345479
13.986000,16.964600,16.964600,224.802645,9.603118,2.345479
14.319000,16.964600,16.964600,230.447124,9.834311,2.345479
14.652000,16.964600,16.964600,236.091604,10.065505,2.345479
14.985000,14.137167,16.964600,241.736083,10.296698,2.345479
15.318000,16.964600,14.137167,246.910189,10.508625,3.518219
15.651000,14.137167,14.137167,252.078873,10.826405,2.345479
15.984000,14.137167,14.137167,256.782606,11.019066,2.345479
16.317000,14.137167,14.137167,261.486338,11.211727,2.345479
16.650000,14.137167,14.137167,266.190071,11.404389,2.345479
16.983000,11.309734,14.137167,270.893804,11.597050,2.345479
17.316000,14.137167,11.309734,275.127163,11.770445,3.518219
17.649000,11.309734,11.309734,279.356087,12.030446,2.345479
17.982000,11.309734,11.309734,283.119073,12.184575,2.345479
18.315000,14.137167,11.309734,286.882059,12.338704,2.345479
18.648000,11.309734,11.309734,291.115418,12.512099,1.172740
18.981000,11.309734,11.309734,294.880771,12.589180,1.172740
19.314000,11.309734,11.309734,298.646123,12.666260,1.172740
19.647000,11.309734,11.309734,302.411476,12.743341,1.172740
19.980000,11.309734,11.309734,306.176828,12.820422,1.172740
20.313000,11.309734,11.309734,309.942180,12.897502,1.172740
20.646000,16.964600,-2.827433,313.707533,12.974583,1.172740
20.979000,19.792034,-14.137167,316.060878,13.022758,-7.036437
21.312000,22.619467,-19.792034,316.995322,12.907420,-21.109312
21.645000,0.000000,0.000000,317.434499,12.737873,-38.700405
