1,1,0,0
1,1,2,2
0,2,4,6
-2,5,8,8
-6,9,8,10
-10,14,10,10
-15,19,12,10
-21,24,10,8
-26,28,10,10
-31,33,8,12
-35,39,8,10
-39,44,10,8
-44,48,10,12
-49,54,10,10
-54,59,12,12
-60,65,12,12
-66,71,14,12
-73,77,14,14
-80,84,12,12
-86,90,12,12
-92,96,12,12
-98,102,12,12
-104,108,14,14
-111,115,14,14
-118,122,14,16
-125,130,14,14
-132,137,12,12
-138,143,12,12
-144,149,10,12
-149,155,28,28
-163,169,16,14
-171,176,14,14
-178,183,14,12
-185,189,14,12
-192,195,12,12
-198,201,14,14
-205,208,12,14
-211,215,14,16
-218,223,12,14
-224,230,14,14
-231,237,12,12
-237,243,12,12
-243,249,10,12
-248,255,14,12
-255,261,10,10
-260,266,12,8
-266,270,10,8
-271,274,10,8
-276,278,10,10
-281,283,10,12
-286,289,10,10
-291,294,10,10
-296,299,8,10
-300,304,6,8
-303,308,4,4
-305,310,8,6
-309,313,8,8
-313,317,18,18
-322,326,8,8
-326,330,8,8
-330,334,8,4
-334,336,12,-2
-340,335,36,-26
-358,322,18,-20
-367,312,14,-18
-374,303,,
