-1,1,0,0
-1,1,2,4
-2,3,10,12
-7,9,10,8
-12,13,8,8
-16,17,8,10
-20,22,8,8
-24,26,10,10
-29,31,8,8
-33,35,12,10
-39,40,10,10
-44,45,10,10
-49,50,10,12
-54,56,12,10
-60,61,10,12
-65,67,12,12
-71,73,12,12
-77,79,12,12
-83,85,14,14
-90,92,12,12
-96,98,14,14
-103,105,12,14
-109,112,14,12
-116,118,12,12
-122,124,14,14
-129,131,12,14
-135,138,14,12
-142,144,12,14
-148,151,14,12
-155,157,12,14
-161,164,14,12
-168,170,12,14
-174,177,14,12
-181,183,12,14
-187,190,14,12
-194,196,12,14
-200,203,14,12
-207,209,12,14
-213,216,14,12
-220,222,12,14
-226,229,14,12
-233,235,12,12
-239,241,12,12
-245,247,12,12
-251,253,12,12
-257,259,10,12
-262,265,12,10
-268,270,10,10
-273,275,10,10
-278,280,10,10
-283,285,10,10
-288,290,8,10
-292,295,10,8
-297,299,8,8
-301,303,8,8
-305,307,10,8
-310,311,8,8
-314,315,8,8
-318,319,8,8
-322,323,8,8
-326,327,8,8
-330,331,8,8
-334,335,12,-2
-340,334,14,-10
-347,329,16,-14
-355,322,,
