0:00:31,-1,1,0,0
0:00:31,-1,1,18,20
0:00:31,-10,11,12,12
0:00:31,-16,17,12,10
0:00:31,-22,22,12,14
0:00:31,-28,29,12,12
0:00:31,-34,35,12,12
0:00:31,-40,41,12,12
0:00:31,-46,47,14,12
0:00:31,-53,53,14,14
0:00:31,-60,60,12,14
0:00:31,-66,67,16,14
0:00:31,-74,74,14,14
0:00:31,-81,81,14,16
0:00:31,-88,89,16,14
0:00:31,-96,96,16,16
0:00:31,-104,104,16,16
0:00:31,-112,112,18,16
0:00:31,-121,120,16,18
0:00:31,-129,129,18,16
0:00:31,-138,137,16,18
0:00:31,-146,146,18,18
0:00:31,-155,155,18,18
0:00:31,-164,164,18,18
0:00:31,-173,173,20,20
0:00:31,-183,183,20,20
0:00:31,-193,193,20,20
0:00:31,-203,203,20,20
0:00:31,-213,213,18,18
0:00:31,-222,222,20,20
0:00:31,-232,232,20,20
0:00:31,-242,242,20,20
0:00:31,-252,252,20,22
0:00:31,-262,263,18,20
0:00:31,-271,273,20,20
0:00:31,-281,283,20,18
0:00:31,-291,292,20,20
0:00:31,-301,302,20,20
0:00:31,-311,312,20,20
0:00:31,-321,322,20,20
0:00:31,-331,332,18,20
0:00:31,-340,342,20,20
0:00:31,-350,352,20,20
0:00:31,-360,362,20,20
0:00:31,-370,372,20,20
0:00:31,-380,382,20,20
0:00:31,-390,392,20,20
0:00:31,-400,402,20,20
0:00:31,-410,412,20,20
0:00:31,-420,422,20,20
0:00:31,-430,432,20,18
0:00:31,-440,441,20,22
0:00:31,-450,452,20,20
0:00:31,-460,462,20,20
0:00:31,-470,472,18,20
0:00:31,-479,482,20,18
0:00:31,-489,491,20,20
0:00:31,-499,501,18,20
0:00:31,-508,511,20,18
0:00:31,-518,520,20,20
0:00:31,-528,530,18,20
0:00:31,-537,540,20,18
0:00:31,-547,549,18,18
0:00:31,-556,558,16,18
0:00:31,-564,567,18,18
0:00:31,-573,576,18,16
0:00:31,-582,584,16,16
0:00:31,-590,592,18,16
0:00:31,-599,600,16,16
0:00:31,-607,608,16,16
0:00:31,-615,616,16,14
0:00:31,-623,623,14,16
0:00:31,-630,631,14,14
0:00:31,-637,638,16,16
0:00:31,-645,646,14,14
0:00:31,-652,653,14,14
0:00:31,-659,660,12,12
0:00:31,-665,666,12,12
0:00:31,-671,672,14,14
0:00:31,-678,679,12,12
0:00:31,-684,685,10,10
0:00:31,-689,690,12,12
0:00:31,-695,696,12,10
0:00:31,-701,701,,
