1,1,-1,0,0
1,1,-1,0,2
1,1,0,8,10
1,-3,5,16,16
1,-11,13,18,18
1,-20,22,14,18
1,-27,31,12,14
1,-33,38,12,10
1,-39,43,10,10
1,-44,48,12,10
1,-50,53,14,12
1,-57,59,14,16
1,-64,67,16,16
1,-72,75,16,14
1,-80,82,16,16
1,-88,90,14,14
1,-95,97,14,14
1,-102,104,14,16
1,-109,112,18,16
1,-118,120,16,18
1,-126,129,18,16
1,-135,137,16,16
1,-143,145,16,18
1,-151,154,20,18
1,-161,163,20,20
1,-171,173,20,18
1,-181,182,18,16
1,-190,190,16,14
1,-198,197,16,16
1,-206,205,16,18
1,-214,214,20,18
1,-224,223,18,18
1,-233,232,18,18
1,-242,241,16,20
1,-250,251,16,16
1,-258,259,18,16
1,-267,267,16,16
1,-275,275,16,16
1,-283,283,18,18
1,-292,292,18,20
1,-301,302,20,20
1,-311,312,18,18
1,-320,321,16,16
1,-328,329,16,18
1,-336,338,16,16
1,-344,346,18,18
1,-353,355,18,18
1,-362,364,18,18
1,-371,373,18,18
1,-380,382,18,18
1,-389,391,16,16
1,-397,399,16,16
1,-405,407,16,16
1,-413,415,16,16
1,-421,423,16,18
1,-429,432,16,16
1,-437,440,18,16
1,-446,448,16,14
1,-454,455,14,14
1,-461,462,14,12
1,-468,468,14,14
1,-475,475,14,12
1,-482,481,14,14
1,-489,488,12,12
1,-495,494,14,14
1,-502,501,,
