1,1,0,0
1,1,16,16
-7,9,10,8
-12,13,8,8
-16,17,8,10
-20,22,10,10
-25,27,8,10
-29,32,10,8
-34,36,10,12
-39,42,12,10
-45,47,10,10
-50,52,12,12
-56,58,12,12
-62,64,12,12
-68,70,12,12
-74,76,14,14
-81,83,12,14
-87,90,14,12
-94,96,14,14
-101,103,14,14
-108,110,14,16
-115,118,16,14
-123,125,14,16
-130,133,14,14
-137,140,14,14
-144,147,14,14
-151,154,16,14
-159,161,14,16
-166,169,16,14
-174,176,14,14
-181,183,16,16
-189,191,14,14
-196,198,14,16
-203,206,14,14
-210,213,14,16
-217,221,16,14
-225,228,14,14
-232,235,16,16
-240,243,14,14
-247,250,14,14
-254,257,14,14
-261,264,16,16
-269,272,14,14
-276,279,14,14
-283,286,16,16
-291,294,14,14
-298,301,14,14
-305,308,14,14
-312,315,16,14
-320,322,14,16
-327,330,14,12
-334,336,12,14
-340,343,14,14
-347,350,12,14
-353,357,14,12
-360,363,12,14
-366,370,12,10
-372,375,12,12
-378,381,10,12
-383,387,12,12
-389,393,10,10
-394,398,10,10
-399,403,10,10
-404,408,12,10
-410,413,,
