Time,Distance,dTheta,QRToIMR_Theta, QRToIMR_X,QRToIMR_Y,InRange, LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori,QRPose_x,QRPose_y,QRPose_Ori
13.653,118.643402,-0.018932,-0.002676,-2.246416,118.643402,1,5.761794,6.325429,-218.642977,161.928868,0.002676,-100,160,0
13.986,116.769695,-0.009209,0.007352,-1.075413,116.769695,1,6.327623,4.942312,-216.76654,161.93389,-0.007352,-100,160,0
14.319,115.169546,-0.013502,0.003187,-1.555072,115.169546,1,4.51001,5.085314,-215.168961,161.922144,-0.003187,-100,160,0
14.652,113.617422,-0.014548,0.002326,-1.652967,113.617422,1,4.600711,4.719733,-213.617115,161.917198,-0.002326,-100,160,0
14.985,111.960135,-0.018775,-0.001688,-2.10228,111.960135,1,4.699225,5.253594,-211.959975,161.913344,0.001688,-100,160,0
15.318,110.356062,-0.01489,0.002471,-1.643338,110.356062,1,5.104816,4.530335,-210.355725,161.916051,-0.002471,-100,160,0
15.651,108.684196,-0.011861,0.00573,-1.289171,108.684196,1,5.250053,4.799905,-208.682412,161.911916,-0.00573,-100,160,0
15.984,106.953623,-0.008787,0.008997,-0.939787,106.953623,1,5.430265,4.979019,-206.949295,161.901986,-0.008997,-100,160,0
16.317,105.326626,-0.011889,0.006029,-1.25231,105.326626,1,4.673894,5.083758,-205.324711,161.88737,-0.006029,-100,160,0
16.65,103.62903,-0.009022,0.009092,-0.934987,103.62903,1,5.316584,4.893597,-203.624747,161.87712,-0.009092,-100,160,0
16.65,110.806404,-0.007849,0.010182,-0.869734,110.806404,1,5.316584,4.893597,-203.624747,161.87712,-0.009092,-92.822922,160,0.00109
16.983,116.541734,-0.011889,0.003582,-1.385608,116.541734,1,4.655461,5.356288,-201.95786,161.861965,-0.004018,-85.417066,160.008076,-0.000436
17.316,122.128728,-0.014824,0.001396,-1.810565,122.128728,1,5.020671,5.53109,-200.201005,161.854905,-0.000323,-78.072284,160.004873,0.001073
17.649,126.779963,-0.009958,0.006113,-1.262456,126.779963,1,7.16206,6.5754,-197.913718,161.854166,-0.00457,-71.135079,160.012319,0.001543
17.982,131.195134,-0.011046,0.003835,-1.449177,131.195134,1,7.815988,8.058027,-195.270723,161.842087,-0.002818,-64.076109,160.023214,0.001017
