Time,Distance,dTheta,QRToIMR_Theta, QRToIMR_X,QRToIMR_Y,InRange, LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori,QRPose_x,QRPose_y,QRPose_Ori
11.655,131.8995,0.016308,0.007249,2.151169,131.8995,1,10.552137,11.08786,-666.746748,-0.873456,-0.009066,-534.852668,0.08199,-0.001817
11.988,135.872826,0.02016,0.010274,2.739606,135.872826,1,9.843447,9.298115,-663.559809,-0.902348,-0.013013,-527.662838,0.068927,-0.002739
12.321,132.265451,0.018981,0.008545,2.510842,132.265451,1,10.727129,10.966055,-659.9482,-0.94935,-0.011284,-527.662838,0.068927,-0.002739
12.654,136.501031,0.012266,0.00278,1.674365,136.501031,1,9.135621,10.046301,-656.754613,-0.985387,-0.004691,-520.255084,0.048639,-0.001911
12.987,132.812853,0.009466,0.00036,1.257263,132.812853,1,10.854789,11.288612,-653.067778,-1.002682,-0.001551,-520.255084,0.048639,-0.001911
13.32,136.654111,0.005952,0.0075,0.813371,136.654111,1,9.257955,9.704117,-649.910596,-1.007578,0.001679,-513.256678,0.035264,-0.005821
13.653,132.871081,0.005655,0.007967,0.75139,132.871081,1,11.328589,11.393026,-646.127453,-1.001225,0.002146,-513.256678,0.035264,-0.005821
13.986,136.95812,0.007104,0.002826,0.973002,136.95812,1,10.159445,9.876277,-642.791513,-0.994067,0.000096,-505.833393,-0.007947,-0.00273
14.319,133.285978,0.006186,0.00394,0.824461,133.285978,1,10.950771,11.104719,-639.119274,-0.993715,0.00121,-505.833393,-0.007947,-0.00273
14.652,137.22976,0.009769,0.013781,1.340632,137.22976,1,9.996522,9.448453,-635.881688,-0.989797,-0.002757,-498.652449,-0.02755,0.011024
14.985,133.545487,0.008555,0.012298,1.142501,133.545487,1,10.960214,11.165159,-632.197827,-0.999955,-0.001274,-498.652449,-0.02755,0.011024
15.318,137.484444,0.008461,0.014594,1.16333,137.484444,1,9.75848,9.826518,-628.936928,-1.004108,-0.000781,-491.452526,0.051825,0.013813
15.651,133.595372,0.010316,0.016203,1.378216,133.595372,1,11.791014,11.568821,-625.047516,-1.007146,-0.00239,-491.452526,0.051825,0.013813
15.984,137.552423,0.012503,0.008251,1.719873,137.552423,1,9.72543,9.498781,-621.846694,-1.014795,-0.00403,-484.295388,0.150691,0.004221
16.317,141.131464,0.008673,0.02517,1.224013,141.131464,1,11.118082,11.662972,-618.05368,-1.030083,-0.000086,-476.922216,0.181815,-0.025256
16.65,136.890245,0.010149,0.023962,1.389399,136.890245,1,12.820183,12.65329,-613.812346,-1.030447,-0.001294,-476.922216,0.181815,-0.025256
16.983,140.221397,0.010113,0.030571,1.418143,140.221397,1,11.197605,11.003367,-610.115888,-1.03523,-0.0027,-469.895002,0.004298,-0.033271
17.316,136.15047,0.015227,0.025759,2.073289,136.15047,1,12.567406,11.902695,-606.04163,-1.046231,-0.007512,-469.895002,0.004298,-0.033271
17.649,139.588814,0.009923,0.012633,1.385248,139.588814,1,10.32207,10.825394,-602.520677,-1.072681,-0.003868,-462.932908,-0.227421,-0.016501
17.982,135.627711,0.006909,0.015937,0.937093,135.627711,1,11.663998,12.120445,-598.560597,-1.088,-0.000564,-462.932908,-0.227421,-0.016501
18.315,132.099448,0.001744,0.051106,0.230414,132.099448,1,10.230367,10.969355,-595.030844,-1.089992,0.004785,-462.932908,-0.227421,0.055891
18.648,135.879656,0.002708,0.036827,0.368023,135.879656,1,9.714889,9.941776,-591.758047,-1.07433,0.006428,-455.881198,0.167115,0.043255
18.981,132.159441,0.004316,0.038358,0.570414,132.159441,1,11.274144,11.062602,-588.039055,-1.050424,0.004897,-455.881198,0.167115,0.043255
19.314,128.866127,0.005899,0.03256,0.760157,128.866127,1,9.98916,9.785767,-584.746569,-1.034302,0.003424,-455.881198,0.167115,-0.029136
