X1,Y1,X2,Y2,X3,Y3,X4,Y4,Xdist,Ydist,Zdist,XRot,YRot,ZRot
270.068654,153.000911,312.974635,153.000888,313.010468,194.703395,269.958354,194.167798,-12.924692,376.973267,30.044241,-22.059254,-0.711924,-0.073425
270,153,312.850861,153.002663,313.013789,195.018764,270,193.5,-12.924692,376.973267,30.044241,-22.059254,-0.711924,-0.073425
270,152.833333,312.937892,153.042777,312.992467,194.961155,270,193.666667,-12.924692,376.973267,30.044241,-22.059254,-0.711924,-0.073425
270,152.833333,312.787003,153.042967,313.060842,194.663834,270,193.666667,-12.924692,376.973267,30.044241,-22.059254,-0.711924,-0.073425
270,153,312.967712,153.002663,312.976054,195.138898,270,193.5,-12.924692,376.973267,30.044241,-22.059254,-0.711924,-0.073425
270,152.833333,312.911514,153.04372,312.966975,195.121775,270,194,-12.924692,376.973267,30.044241,-22.059254,-0.711924,-0.073425
270,153,312.969009,153.00355,312.949478,194.802429,270,193.833333,-12.924692,376.973267,30.044241,-22.059254,-0.711924,-0.073425
270,153,312.80129,153.00355,313.05838,194.782907,270,193.333333,-12.915863,376.70993,30.137012,-24.397011,-0.783928,1.708263
270,153,312.798533,153.004438,313.072876,194.653948,270,193.333333,-12.915863,376.70993,30.137012,-24.397011,-0.783928,1.708263
313.570307,149.996378,358.075368,150.652513,357.559799,193.73566,313.522858,192.994977,7.082304,367.747406,30.099791,-19.902426,0.377396,6.23444
378.742416,146.24606,429.64739,147.540519,428.200872,196.254804,377.055761,195.965332,32.094845,318.213989,26.329304,-22.476173,-0.069712,3.420078
349.676422,149.114195,402.770172,150.24271,402.328145,202.162457,348.222911,201.244748,20.384928,302.301575,23.584354,-20.242037,-0.282844,2.881026
370.255432,145.327785,430.311681,146.033041,428.298823,203.67118,369.79187,203.042968,26.482996,274.65155,21.819326,-16.356359,0.551132,7.24455
363.542053,145.682558,427.786596,145.887799,426.098424,208.646181,362.591141,208.143664,23.215729,253.737488,19.359297,-16.948645,0.145036,2.648382
358.910217,145.197389,429.839803,146.641938,427.115234,215.023178,358.084493,214.111617,20.610281,229.850174,16.754616,-18.062447,-0.079424,4.713743
358.715815,143.615104,435.221649,144.700426,433.381699,219.203045,358.19043,218.191596,19.844704,212.719681,15.225119,-17.461309,0.421716,4.960801
365.287816,141.367636,447.078644,141.704199,445.583766,223.010968,363.01624,222.677235,20.313084,194.035141,13.760475,-15.028819,0.464535,4.10581
385.314987,138.970525,476.895676,139.652767,473.525131,229.32897,383.902171,227.703707,23.909012,176.25148,12.171862,-16.608027,0.873082,6.623779
379.696314,137.625883,480.789235,139.091972,477.075867,237.604795,378.754196,236.29711,21.718359,160.4758,10.387041,-11.259276,0.006082,6.427754
393.845876,133.972643,511.992808,134.820544,507.798248,250.990369,391.525126,249.05857,22.340162,135.904099,8.112111,-10.242322,0.109314,6.866493
404.473195,132.255569,529.968699,133.154823,524.829152,256.729585,401.068685,254.770222,23.026979,126.485741,7.265409,-11.094859,0.053264,5.28769
404.424474,132.509881,530.008138,133.990099,525.443705,257.47335,400.819082,255.421753,23.09157,126.864365,7.206161,-14.117392,0.557833,6.413025
404.157694,132.636211,530.180359,133.287487,525.409119,257.228267,400.936376,255.17296,23.019907,126.444275,7.223487,-13.72353,0.497625,5.086645
404.43541,132.441212,530.15978,133.496466,525.422414,257.190909,400.853205,255.198144,23.026979,126.485741,7.265409,-11.094859,0.053264,5.28769
404.54656,132.78961,530.131755,133.13525,525.41743,257.169004,400.718582,255.249181,23.067146,126.488464,7.225853,-13.573763,0.246455,3.816486
404.624588,132.853049,530.124105,133.096193,525.424581,256.987095,400.663528,255.370993,23.067146,126.488464,7.225853,-13.573763,0.246455,3.816486
404.4652,132.850322,530.116292,133.098217,525.422119,257.056426,400.765528,255.313313,23.019907,126.444275,7.223487,-13.72353,0.497625,5.086645
404.35674,132.749312,530.091807,133.163873,525.427643,256.989261,400.796046,255.352906,23.019907,126.444275,7.223487,-13.72353,0.497625,5.086645
